run	unique_id	numcells	count_alleles	birthrate	deathrate	mutprob	initialtime	subclone_count	num_mut	num_drivers	is_driver
10	a2.a>1025	0	1	1.799999952316	1.000000000000	0.009999999776	9.746743392688	0	1	0	0
10	a2.a>1031	0	1	1.799999952316	1.000000000000	0.009999999776	9.756650894565	0	1	0	0
10	a2.a>1029	0	1	1.799999952316	1.000000000000	0.009999999776	9.749390998999	0	1	0	0
10	a2.a>1057	3	4	1.799999952316	1.000000000000	0.009999999776	9.789642623054	0	1	0	0
10	a2.a>1035	0	1	1.799999952316	1.000000000000	0.009999999776	9.763925746689	0	1	0	0
10	a2.a>1047	0	1	1.799999952316	1.000000000000	0.009999999776	9.775854033905	0	1	0	0
10	a2.a>1085	6	7	1.799999952316	1.000000000000	0.009999999776	9.814928942953	0	1	0	0
10	a2.a>1039	0	1	1.799999952316	1.000000000000	0.009999999776	9.767352474283	0	1	0	0
10	a3.a>1053	1	2	1.299999952316	1.000000000000	0.019999999553	9.781242291527	0	1	0	0
10	a2.a>1129	22	23	1.799999952316	1.000000000000	0.009999999776	9.859558104969	0	1	0	0
10	a2.a>1081	8	9	1.799999952316	1.000000000000	0.009999999776	9.811884739668	0	1	0	0
10	a2.a>129>1045	0	1	1.799999952316	1.000000000000	0.009999999776	9.774287064623	0	2	0	0
10	a2.a>1049	0	1	1.799999952316	1.000000000000	0.009999999776	9.776687947611	0	1	0	0
10	a3.a>1051	0	1	1.299999952316	1.000000000000	0.019999999553	9.779600228676	0	1	0	0
10	a2.a>1091	11	12	1.799999952316	1.000000000000	0.009999999776	9.816710056877	0	1	0	0
10	a2.a>1059	0	1	1.799999952316	1.000000000000	0.009999999776	9.792822732861	0	1	0	0
10	a2.a>1071	0	1	1.799999952316	1.000000000000	0.009999999776	9.805074805212	0	1	0	0
10	a2.a>1067	0	1	1.799999952316	1.000000000000	0.009999999776	9.800860989196	0	1	0	0
10	a3.a>1069	0	1	1.299999952316	1.000000000000	0.019999999553	9.804520605246	0	1	0	0
10	a2.a>1131	10	11	1.799999952316	1.000000000000	0.009999999776	9.861198637688	0	1	0	0
10	a2.a>1093	7	8	1.799999952316	1.000000000000	0.009999999776	9.819015269028	0	1	0	0
10	a3.a>1075	0	1	1.299999952316	1.000000000000	0.019999999553	9.807067477288	0	1	0	0
10	a2.a>253>1073	0	1	1.799999952316	1.000000000000	0.009999999776	9.806959511106	0	2	0	0
10	a2.a>1107	5	6	1.799999952316	1.000000000000	0.009999999776	9.834542346283	0	1	0	0
10	a2.a>1077	0	1	1.799999952316	1.000000000000	0.009999999776	9.808655210470	0	1	0	0
10	a2.a>1087	3	4	1.799999952316	1.000000000000	0.009999999776	9.815262513807	0	1	0	0
10	a2.a>1079	0	1	1.799999952316	1.000000000000	0.009999999776	9.810270301249	0	1	0	0
10	a2.a>1097	2	3	1.799999952316	1.000000000000	0.009999999776	9.824129552248	0	1	0	0
10	a2.a>1083	0	1	1.799999952316	1.000000000000	0.009999999776	9.813964916363	0	1	0	0
10	a2.a>1089	0	1	1.799999952316	1.000000000000	0.009999999776	9.815986301096	0	1	0	0
10	a3.a>1099	0	1	1.299999952316	1.000000000000	0.019999999553	9.825614936682	0	1	0	0
10	a2.a>1095	0	1	1.799999952316	1.000000000000	0.009999999776	9.822354670404	0	1	0	0
10	a2.a>1141	12	13	1.799999952316	1.000000000000	0.009999999776	9.871551660712	0	1	0	0
