run	unique_id	numcells	birthrate	deathrate	mutprob	initialtime	subclone_count	num_mut	num_drivers	is_driver
1	a1.a>68>78>106>110>124>134>150>160	0	1.030182065761	1.000000000000	1.000000000000	12.505228276873	1	8	5	0
1	a3.a>22>32>52>54>80>122>136>152>162>190>198>206	0	1.153540532437	1.000000000000	1.000000000000	12.935724391224	2	12	8	1
1	a1.a>68>78>106>110>124>138>144	0	1.069682766236	1.000000000000	1.000000000000	11.975048496771	4	7	5	1
1	a1.a>68>78>106>110>124	0	1.043328844761	1.000000000000	1.000000000000	10.631397461010	4	5	4	1
1	a3.a>22>32>52>54>80>120>170	0	1.107100024807	1.000000000000	1.000000000000	12.586275200438	0	7	3	0
1	a1.a>68>78>106>110>124>134>150>160>168	0	1.030125192424	1.000000000000	1.000000000000	12.566971136909	1	9	5	0
1	a3.a>22>32>52>54>80>122>136>152>164>192	0	1.148718533615	1.000000000000	1.000000000000	12.750755038700	0	10	6	0
1	a1.a>174	0	0.978294899860	1.000000000000	1.000000000000	12.620769873096	2	1	0	0
1	a3.a>22>32>52>54>80>122>208>232	0	1.148099468881	1.000000000000	1.000000000000	13.360360203044	0	8	5	1
1	a3.a>22>32>52>54>80>122>128>220>236	0	1.083305533021	1.000000000000	1.000000000000	13.474821165808	1	9	4	0
1	a3.a>22>32>52>54>80>120	0	1.121401292174	1.000000000000	1.000000000000	10.541720986940	2	6	3	0
1	a3.a>238	0	1.092456007303	1.000000000000	1.000000000000	13.488942420957	0	1	0	0
1	a3.a>22>32>52>54>80>122>128>220	0	1.101672696765	1.000000000000	1.000000000000	13.215278038757	1	8	4	0
1	a3.a>22>32>52>54>80>122>136>152>164	0	1.165511021041	1.000000000000	1.000000000000	12.544067475301	3	9	6	0
1	a3.a>22>32>52>54>80>122>136>152>164>224>234	0	1.169247628814	1.000000000000	1.000000000000	13.365870866892	0	11	8	1
1	a1.a>68>78>106>110>124>188	0	1.014537343307	1.000000000000	1.000000000000	12.736843465425	0	6	4	0
1	a3.a>22>32>52>54>80>166>182>210	0	1.129662992167	1.000000000000	1.000000000000	13.116009412289	1	8	5	1
1	a3.a>22>32>52>54>80>122>136>176>212>246>254	0	1.124035144564	1.000000000000	1.000000000000	13.957564028879	0	11	6	0
1	a3.a>22>32>52>54>80>166>182>210>244>256	0	1.123499421077	1.000000000000	1.000000000000	14.043870887517	0	10	6	1
1	a3.a>22>32>52>54>80>122>128>258	0	1.115734167400	1.000000000000	1.000000000000	14.176248815117	0	8	5	1
1	a3.a>22>32>52>54>80>122>208	0	1.140447817632	1.000000000000	1.000000000000	12.990126486962	2	7	4	0
1	a3.a>22>32>52>54>80>122>136>152>162>190>198>206>222>228	0	1.122851347590	1.000000000000	1.000000000000	13.333496859880	0	14	9	0
1	a1.a>68>78>106>110>124>138>144>216	0	1.076377970039	1.000000000000	1.000000000000	13.185710091347	0	8	6	1
1	a3.a>22>32>52>54>80>122>128>130>242	0	1.118533140173	1.000000000000	1.000000000000	13.709584176991	0	9	5	0
1	a1.a>68>78>106>110>124>138>144>218	0	1.072213954214	1.000000000000	1.000000000000	13.208557369672	1	8	6	1
1	a1.a>68>78>106>110>124>134>150>200	0	1.041256430145	1.000000000000	1.000000000000	12.803928896453	1	8	5	0
1	a3.a>22>32>52>54>80>122>136>152>162>190>198>206>222>252	0	1.167080036371	1.000000000000	1.000000000000	13.898058347491	0	14	10	1
1	a3.a>22>32>52>54>80>122>128>248	0	1.127860264800	1.000000000000	1.000000000000	13.744970270684	1	8	5	1
1	a3.a>22>32>52>54>80>122>136>152>164>224>264	0	1.168667535969	1.000000000000	1.000000000000	14.318214566079	0	11	8	1
1	a3.a>22>32>52>54>80>122>154>172>180	0	1.132877728467	1.000000000000	1.000000000000	12.702474846406	0	9	5	0
1	a3.a>22>32>52>54>80>122>136>152>162>190>198>206>222	0	1.161405408431	1.000000000000	1.000000000000	13.256613255035	3	13	9	1
